text;category;priority
После оплаты заказ так и не появился. Это уже начинает раздражать.;Оплата;Высокий
Не могу привязать карту к профилю. Спасибо заранее. Номер заказа: 448334.;Оплата;Высокий
Не приходит код подтверждения. Сколько можно ждать? Очень рассчитывал на ваш сервис.;Техническая ошибка;Высокий
Уберите мой номер из рассылки. Пожалуйста, помогите разобраться. Номер заказа: 570099.;Спам;Низкий
Не открывается личный кабинет. Пожалуйста, помогите разобраться. Пишу уже второй раз.;Техническая ошибка;Средний
После оплаты заказ так и не появился. Я крайне недоволен сервисом. Никто не отвечает в чате поддержки.;Оплата;Высокий
Хватит отправлять рекламу. Спасибо заранее.;Спам;Низкий
Хватит отправлять рекламу. Спасибо заранее. Это произошло сегодня около 20:11.;Спам;Низкий
Почему доставка перенесена без предупреждения?. Я крайне недоволен сервисом. С телефона и компьютера результат одинаковый.;Доставка;Средний
Курьер опаздывает на час. Когда это наконец исправят? Номер заказа: 971999.;Доставка;Высокий
Приложение зависает на загрузке. Сколько можно ждать? Пишу уже второй раз.;Техническая ошибка;Высокий
Постоянно появляется неизвестная ошибка. Что вообще происходит?;Техническая ошибка;Средний
Каждый день спамите акциями. Что вообще происходит? Номер заказа: 241272.;Спам;Низкий
Посылка повреждена. Спасибо заранее.;Доставка;Средний
Верните деньги за отменённый заказ. Это уже начинает раздражать. Очень рассчитывал на ваш сервис.;Оплата;Высокий
Уберите мой номер из рассылки. Сколько можно ждать?;Спам;Низкий
При попытке оплаты появляется ошибка. Прошу решить проблему как можно быстрее.;Оплата;Высокий
Доставка задерживается уже второй день. Я крайне недоволен сервисом. Очень рассчитывал на ваш сервис.;Доставка;Средний
Не приходит код подтверждения. Когда это наконец исправят?;Техническая ошибка;Высокий
Платёж завис на этапе обработки. Спасибо заранее. Пишу уже второй раз.;Оплата;Высокий
Почему доставка перенесена без предупреждения?. Сколько можно ждать?;Доставка;Высокий
Оплата не проходит уже третий раз.  С телефона и компьютера результат одинаковый.;Оплата;Высокий
При попытке оплаты появляется ошибка. Что вообще происходит?;Оплата;Высокий
Ваши уведомления уже надоели. Спасибо заранее.;Спам;Низкий
Постоянно появляется неизвестная ошибка. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Не приходит код подтверждения. Сколько можно ждать? Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
Курьер не выходит на связь. Когда это наконец исправят? Номер заказа: 437701.;Доставка;Высокий
Почему отменён платёж, если деньги уже ушли?. Сколько можно ждать? Раньше всё работало нормально.;Оплата;Высокий
Заказ до сих пор не доставлен. Я крайне недоволен сервисом. С телефона и компьютера результат одинаковый.;Доставка;Средний
Почему мне приходят рекламные сообщения ночью?. Прошу решить проблему как можно быстрее.;Спам;Низкий
Приходят странные сообщения от вашего сервиса. Спасибо заранее.;Спам;Низкий
Сайт открывается очень медленно. Пожалуйста, помогите разобраться.;Техническая ошибка;Средний
Приходят странные сообщения от вашего сервиса.  С телефона и компьютера результат одинаковый.;Спам;Низкий
Приходят странные сообщения от вашего сервиса. Я крайне недоволен сервисом. Раньше всё работало нормально.;Спам;Низкий
Почему мне приходят рекламные сообщения ночью?. Спасибо заранее. Очень рассчитывал на ваш сервис.;Спам;Низкий
После оплаты заказ так и не появился. Это уже начинает раздражать.;Оплата;Высокий
Курьер опаздывает на час. Спасибо заранее. С телефона и компьютера результат одинаковый.;Доставка;Средний
Курьер приехал не по тому адресу. Что вообще происходит? Никто не отвечает в чате поддержки.;Доставка;Средний
Хватит отправлять рекламу.;Спам;Низкий
Курьер опаздывает на час. Очень срочно! Проблема повторяется уже несколько дней.;Доставка;Высокий
Не получается оплатить через Apple Pay. Сколько можно ждать? Номер заказа: 487743.;Оплата;Высокий
Заказ отмечен как доставленный, но я ничего не получил. Пожалуйста, помогите разобраться. Это произошло сегодня около 7:44.;Доставка;Средний
Почему доставка перенесена без предупреждения?. Спасибо заранее. С телефона и компьютера результат одинаковый.;Доставка;Средний
Ошибка сервера при входе в приложение. Пожалуйста, помогите разобраться. Раньше всё работало нормально.;Техническая ошибка;Средний
Мне неинтересны ваши предложения. Когда это наконец исправят? Пишу уже второй раз.;Спам;Низкий
Деньги списали, но подтверждения нет. Спасибо заранее.;Оплата;Высокий
Не могу привязать карту к профилю.  Никто не отвечает в чате поддержки.;Оплата;Высокий
Постоянно получаю ненужные уведомления. Когда это наконец исправят?;Спам;Низкий
